"","TCGA.CH.5761.11A.01R.1580.07","TCGA.CH.5761.11A.01R.1580.08","TCGA.CH.5761.11A.01R.1580.09","TCGA.CH.5761.11A.01R.1580.10","TCGA.CH.5761.11A.01R.1580.11","TCGA.CH.5761.11A.01R.1580.12","TCGA.CH.5761.11A.01R.1580.13","TCGA.CH.5761.11A.01R.1580.14","TCGA.CH.5761.11A.01R.1580.15"
"A1BG","47.4871","36.3934","74.1938","17.9526","55.1274","36.5281","165.9088","73.8985","83.3293"
"A1CF","0","0","1.4144","0","0","0","0","0","0"
"A2BP1","11.9061","37.0455","36.7751","2.2918","19.6732","158.4928","11.7734","52.5386","41.1919"
"A2LD1","113.0807","102.9231","87.9986","111.3827","145.439","67.7572","146.6851","103.7792","81.8403"
"A2M","5594.0057","9124.2072","3122.1924","11170.3514","8499.4952","30759.0999","10025.8057","29082.9007","91564.8883"
"A2ML1","160.2748","159.6002","36.0679","27.8839","21.2162","11.6627","34.5843","65.3422","64.489"
"A4GALT","922.7247","586.1311","360.6789","462.9488","541.592","837.6196","346.5784","530.6843","649.2794"
"A4GNT","0","0.2537","0","0","0","0.299","0.3679","0","0.3376"
"AAA1","0","0","0","0","0.3857","0","0","0","0"
"AAAS","836.6342","709.1933","628.7129","903.3613","720.5796","412.0813","589.7719","529.3598","487.5504"
"AACS","1191.5283","771.6125","727.7228","1595.8747","958.2012","659.988","1033.4805","1022.5166","561.8309"
"AACSL","0","1.0149","0","0","0","0.299","0","0","0.6753"
"AADAC","0","0.7612","0","0.7639","0.3857","0.299","0.3679","0.883","0"
"AADACL2","0","0","0","0","0","0","0","0","0"
"AADACL3","0","0","0","0","0","0.299","0","0","0"
"AADACL4","0","0.2537","0","1.5279","0","1.4952","0.3679","0.4415","0.6753"
"AADAT","256.8975","246.6318","248.232","259.3583","334.0589","240.1316","463.2082","270.6402","236.0095"
"AAGAB","952.49","979.4226","939.1796","1077.5401","1060.4247","742.823","1604.8565","882.5607","824.1763"
"AAK1","1298.2255","1298.1156","1858.5573","1287.2422","1188.8792","1328.9474","461.3687","1735.0993","1253.9905"
"AAMP","3293.4173","2508.6921","3022.6308","3606.5699","3140.3848","2017.9426","3323.7675","2596.468","2048.4545"
"AANAT","0.9159","0.2537","0","0","0","0","0.3679","0","0.3376"
"AARS","3592.9021","2607.903","3096.8883","4037.4332","3193.2324","3763.1579","3008.4621","3665.7837","3052.9299"
"AARS2","646.5896","618.3278","579.9151","574.851","442.8363","373.4809","263.429","498.4547","429.4765"
"AARSD1","581.1105","557.7127","478.7836","692.8953","612.5698","652.512","664.4592","519.2053","397.4009"
"AASDH","312.3068","383.9032","408.7694","245.6073","396.5502","272.7273","446.284","360.7064","413.2699"
"AASDHPPT","735.8901","768.0602","849.3635","444.6142","813.1595","826.555","1112.9507","822.5166","868.407"
"AASS","397.4814","835.3003","538.8967","226.8908","381.1203","389.3541","278.1457","492.2737","572.973"
"AATF","868.6892","809.1655","934.9364","1100.4584","771.8843","941.6866","587.1965","777.9249","781.6338"
"AATK","102.5758","78.6659","154.8798","98.1665","60.1769","103.4689","41.5747","111.6998","76.9816"
"ABAT","1953.9782","1559.4641","1567.8925","1488.1589","2309.4808","1420.1555","2068.8006","1903.7528","1470.4169"
"ABCA1","320.5495","608.4447","402.4045","307.4866","478.6685","474.8804","207.1376","505.064","717.4655"
"ABCA10","11.9199","38.0605","7.0721","5.3476","4.2432","42.1651","1.4717","4.415","5.7399"
"ABCA11P","91.6176","158.8974","139.1018","135.3132","118.5832","85.6728","179.1096","97.7483","105.6168"
"ABCA12","11.4482","19.7914","7.0721","4.2017","5.0147","2.0933","0.3679","12.362","7.4281"
"ABCA13","4.5793","4.3135","2.1216","0","0.7715","1.4952","0","1.3245","2.7011"
"ABCA17P","2.2896","3.806","7.0721","2.6738","3.8575","3.8876","3.3113","3.0905","2.3635"
"ABCA2","1927.4184","1552.8669","1898.8685","1591.673","1663.7366","1419.2584","367.1818","1555.4084","1492.3635"
"ABCA3","1196.1076","925.3768","1297.0297","552.712","1251.3706","1088.5167","370.1251","987.1965","684.0562"
"ABCA4","7.3268","4.821","2.1216","6.1115","1.1572","6.2799","4.415","3.532","9.7915"
"ABCA5","586.1339","851.032","424.3281","273.4912","490.2873","492.2249","447.3878","492.7152","435.554"
"ABCA6","15.1116","42.374","4.9505","7.2574","37.4177","78.0502","32.3767","26.0486","76.9816"
"ABCA7","569.2044","290.5282","200.8487","129.1062","190.5601","127.6914","104.4886","241.0596","259.9819"
"ABCA8","182.2553","695.4915","195.1909","125.2865","486.4298","1795.7536","131.3466","342.1634","485.8622"
"ABCA9","14.6537","41.8665","9.901","7.2574","18.516","120.2153","3.6792","7.5055","15.869"
"ABCB1","134.6308","334.4246","106.7893","246.7532","254.5945","482.3565","52.2443","311.2583","821.1375"
"ABCB10","469.3761","500.1145","519.802","661.1917","475.6288","535.8852","654.8933","528.4768","550.3512"
"ABCB11","0.4579","1.2687","0.7072","0","0.3857","0.299","0","0","0.6753"
"ABCB4","5.0372","27.4035","9.901","25.974","11.5725","26.0167","3.6792","10.1545","39.8414"
"ABCB5","1.3738","2.7911","33.9463","5.7296","5.0147","0","1.4717","5.298","1.6882"
"ABCB6","1066.6377","838.2614","641.2306","1136.2643","1029.2138","537.9037","789.1869","811.457","489.1373"
"ABCB7","312.7647","442.7701","416.5488","467.5325","476.4003","445.8732","608.1678","335.5408","406.1795"
"ABCB8","736.806","527.518","559.4059","556.9137","815.0882","517.3445","792.4945","661.3687","507.8087"
"ABCB9","168.664","131.7095","87.8218","61.7571","93.7564","76.9199","63.2929","109.479","113.45"
"ABCC1","2304.2931","1856.3357","2758.133","2085.5615","2355.385","2316.0885","771.8911","3014.128","1804.6793"
"ABCC10","701.0876","676.4613","507.0721","538.961","587.1104","340.012","220.3826","448.1236","497.3419"
"ABCC11","505.0944","27.911","1836.6337","3.0558","416.2235","24.2225","9.9338","16.3355","40.8543"
"ABCC12","3.2055","0","11.3154","0","0","1.1962","0","0","0"
"ABCC13","0","0.2537","0","2.2918","0","0","0","0","0"
"ABCC2","5.9531","15.4779","9.1938","2.6738","5.4005","3.5885","1.8396","1.766","6.4151"
"ABCC3","331.5398","589.6835","199.4342","500","518.0613","55.9211","184.6946","251.2141","321.7698"
"ABCC4","4491.3566","3087.4648","5217.8218","13291.4439","7365.8822","1525.4187","6862.7667","6183.6645","2544.7836"
"ABCC5","636.9777","1650.048","976.662","348.7395","573.9949","484.7488","432.6711","709.0508","481.1353"
"ABCC6","101.66","50.4935","36.7751","13.369","72.9066","47.5478","82.7815","72.8477","100.2787"
"ABCC6P1","10.9903","9.642","9.901","1.1459","6.9435","4.4856","22.0751","6.181","10.4668"
"ABCC6P2","17.4013","16.2391","11.3154","3.0558","14.6585","21.5311","55.1876","17.2185","25.9982"
"ABCC8","20.6068","85.0017","62.2348","80.2139","9.6437","33.7919","61.0743","169.5364","41.5296"
"ABCC9","267.4299","412.068","359.9717","352.5592","439.7542","1349.5813","301.3245","751.8764","1062.8869"
"ABCD1","346.1935","285.4535","286.4215","299.4652","379.5773","732.0574","244.6652","467.5497","411.9193"
"ABCD2","8.2427","13.448","14.8515","4.5837","16.973","71.1722","24.6505","38.8521","99.9411"
"ABCD3","1072.0092","1186.4715","1291.372","739.8778","1466.6187","1159.0909","2089.0361","1599.5585","1494.7269"
"ABCD4","665.3692","607.445","461.1033","536.2872","604.0833","285.2871","635.3937","443.2671","478.7718"
"ABCE1","894.3331","1160.3367","1106.082","1722.6891","1083.9554","1006.5789","1482.7079","1104.1943","1196.5919"
"ABCF1","1863.3085","1735.5572","1568.5997","1652.0244","1408.7563","1690.7895","784.7682","1798.234","1557.1901"
"ABCF2","847.6245","925.8842","902.4045","1087.0894","988.6754","1244.9163","1095.6586","999.117","1014.2669"
"ABCF3","1480.9388","1104.7684","1316.1245","787.6241","1188.4935","735.945","961.3687","1056.0706","1003.1248"
"ABCG1","445.1059","576.4892","611.0325","557.6776","885.2946","255.0837","596.0265","433.5541","403.1407"
"ABCG2","217.5157","273.7816","133.6634","59.5875","462.8991","787.0813","542.6784","1045.4746","1020.6821"
"ABCG4","3.2055","2.5374","1.4144","3.0558","2.7002","3.8876","4.0471","7.5055","5.4022"
"ABCG5","0.9159","1.2687","0","0","0.7715","0","1.1038","0","0.3376"
"ABCG8","0","0","0","0","0","0","0","0","0"
"ABHD1","26.1019","31.2096","40.3112","6.1115","50.1474","21.8301","85.3569","18.9845","31.0628"
"ABHD10","816.9433","788.8666","1310.4668","873.9496","1145.2896","742.2249","2079.4702","918.3223","845.1099"
"ABHD11","1059.6451","1311.3099","1016.2659","1681.0542","1208.5524","336.1244","1530.1692","648.1236","422.7238"
"ABHD12","1966.8002","1571.3897","1897.454","2805.5768","1990.4662","819.0789","1712.2884","1211.0375","1103.0659"
"ABHD12B","0","1.0149","0.7072","1.9099","0.3857","2.3923","0.3679","2.649","1.3506"
"ABHD13","512.4213","665.0432","487.9774","406.4171","472.9286","503.8876","691.6851","537.7483","614.5026"
"ABHD14A","410.0057","313.3645","444.2008","347.5936","617.7427","289.1358","805.0147","274.1722","336.9635"
"ABHD14B","2375.2719","2076.8327","2411.5983","2626.4324","2461.4661","1436.0048","2616.262","1557.1744","1734.4505"
"ABHD15","360.3892","314.1257","378.3593","194.0413","217.5626","229.9641","111.1111","240.6181","349.1185"
"ABHD2","11866.743","11025.3552","9122.3479","8111.1536","9723.196","7925.2392","2802.0603","10136.8653","9204.0334"
"ABHD3","419.004","416.889","246.1103","373.5676","387.2923","151.6148","561.8102","294.0397","245.1258"
"ABHD4","881.5112","763.4929","740.4526","1008.7853","1021.4641","1685.4067","993.0096","888.7417","1054.4459"
"ABHD5","389.6966","548.8319","408.7694","491.5966","437.8254","627.3923","695.7322","622.5166","561.1557"
"ABHD6","168.0595","261.856","143.5644","60.7334","300.1129","303.2297","307.947","308.6093","199.5445"
"ABHD8","387.407","251.4528","317.5389","152.7884","327.5011","404.0072","363.1347","327.5938","423.0614"
"ABI1","1202.9765","1552.0778","1361.768","1449.0031","1381.3681","1066.0676","1910.3127","1254.6711","1449.3787"
"ABI2","1355.9244","1694.7056","1427.157","1735.6761","1594.6875","3164.1746","1358.7196","1873.2892","2110.5801"
"ABI3","165.312","127.8832","38.1895","117.2651","163.5577","141.1483","161.5158","148.7859","363.9746"
"ABI3BP","101.66","231.4076","243.9887","172.6509","144.656","874.1029","136.8653","424.2826","1217.5255"
"ABL1","2856.0962","2851.7437","2524.0453","3516.4248","2685.5864","5065.7895","991.17","3054.3046","3017.4779"
"ABL2","492.7304","694.7303","543.8472","584.7976","418.1522","573.5646","201.9868","720.0883","746.857"
"ABLIM1","1866.972","2952.7308","2506.3649","1351.4133","1787.5621","5701.256","417.2185","1709.0508","2415.4679"
"ABLIM2","24.7281","23.09","14.8515","73.3384","25.0737","206.3397","13.9809","28.6976","71.9171"
"ABLIM3","170.3492","269.7218","512.0226","174.5607","504.1743","829.2464","160.4121","546.1369","548.3254"
"ABO","52.2038","90.5839","57.2843","27.1199","57.8624","61.0048","84.989","56.9536","64.489"
"ABP1","41.2135","254.4976","177.5106","12.605","688.9482","420.4545","1351.3613","175.2759","1309.0256"
"ABR","2839.1528","3595.6989","2386.1386","1472.8801","1891.3286","2892.3445","889.9926","2528.4768","2272.9843"
"ABRA","0.4579","13.7018","2.8289","2.2918","0","218.6005","1.1038","26.0486","7.4281"
"ABT1","637.8935","554.9216","592.645","465.2406","661.1742","456.0407","871.2288","447.2406","526.0412"
"ABTB1","615.913","618.6094","268.7412","399.1597","483.7296","340.9091","632.8182","385.872","553.0523"
"ABTB2","140.1259","104.0319","141.4427","122.9947","106.4668","237.1411","215.2318","257.8366","342.0281"
"ACAA1","2837.779","2001.7267","2817.5389","2373.9496","3168.1587","1185.1077","3616.9978","1739.9558","1498.7786"
"ACAA2","329.2501","529.8017","338.7553","449.9618","712.4789","1540.0718","1527.2259","707.2848","858.9531"
"ACACA","4034.8025","3819.7482","3853.6068","5328.1131","4176.1215","5075.6579","1813.0979","5058.7196","2481.9828"
"ACACB","1104.98","1136.7392","557.2843","244.4614","963.2159","1467.7033","257.5423","946.1369","999.0732"
"ACAD10","650.7155","603.1315","594.0594","641.3293","602.1546","380.6818","312.362","408.3885","416.9839"
"ACAD11","306.3537","593.997","269.4484","255.9206","308.2137","276.3158","347.6821","253.4216","245.801"
"ACAD8","2258.9582","1456.9546","1312.5884","1380.4431","2657.0409","1167.1651","2463.2082","1360.2649","918.3775"
"ACAD9","866.8575","862.7013","939.1796","1276.547","908.8253","729.3571","803.8962","792.4901","710.8006"
"ACADL","315.5123","434.6505","205.0919","101.9862","443.6117","258.6722","710.8168","547.0199","255.5926"
"ACADM","903.4917","1099.1862","1067.8925","804.4309","995.6189","1445.5742","1690.5813","976.6004","997.7226"
"ACADS","547.6817","400.3961","445.5446","449.9618","524.2333","479.067","793.9662","371.7439","423.399"
"ACADSB","2892.7304","1820.3051","3024.0453","2052.33","2547.8739","1759.8684","2929.7277","2874.6137","1787.1221"
"ACADVL","5415.9084","6531.3812","4275.0212","6247.1047","5240.3999","2873.1489","5396.2215","4648.5298","3460.7773"
"ACAN","3.6634","24.6124","9.1938","51.5661","7.3292","84.0311","1.8396","15.4525","10.1292"
"ACAP1","92.5014","77.6433","17.6803","47.7464","46.6757","40.3708","50.4047","35.7616","380.8566"
"ACAP2","891.1276","1104.0072","1176.8034","1042.7807","969.3879","1415.9689","1130.9787","1340.3974","1783.7457"
"ACAP3","431.3864","516.7241","333.1259","674.1788","316.3144","558.6184","212.6711","447.2494","398.0896"
"ACAT1","812.3641","909.3914","1295.6153","548.5103","1191.1937","2229.6651","1776.674","1045.0331","1031.8241"
"ACAT2","1444.3549","941.7199","832.8076","1684.8396","1402.4956","559.3122","2322.1155","1069.947","837.8743"
"ACBD3","1456.6686","1657.1526","1736.2093","1665.3934","1364.7809","1361.8421","1378.2193","1615.894","1705.4135"
"ACBD4","397.0235","339.2456","367.0438","301.7571","324.0294","353.4689","456.2178","227.8146","271.1239"
"ACBD5","782.1408","747.2538","881.1881","1053.094","931.1987","697.9665","1195.3642","916.9978","939.6488"
"ACBD6","307.2696","332.141","301.9802","412.5286","367.619","388.756","508.83","340.3974","358.2348"
"ACBD7","25.186","34.7619","21.9236","31.3216","26.231","5.0837","19.8675","19.426","25.9982"
"ACCN1","1.3738","6.8509","16.9731","21.3904","5.0147","2.0933","0.7358","1.3245","1.0129"
"ACCN2","259.1872","199.4368","139.3211","284.5684","313.2284","155.8014","148.6387","194.702","181.312"
"ACCN3","2.7476","7.3584","10.6082","3.8197","3.4717","3.2895","4.7829","5.7395","2.7011"
"ACCN4","0","2.2836","0.7072","1.5279","1.543","0.5981","1.1038","1.3245","3.0387"
"ACCN5","0.4579","3.806","1.4144","9.9312","3.086","0","0","0","0"
"ACCS","275.2147","395.0676","231.9661","546.2185","220.6486","97.189","207.1376","93.1567","142.8212"
"ACCSL","0.4579","0","0","0","0.3857","0","0","0","0"
"ACD","433.1998","384.6644","344.413","424.7517","333.6731","385.1675","371.9647","339.9558","361.9488"
"ACE","1179.1643","842.1512","753.8897","802.903","914.6115","526.0167","862.3988","999.117","879.2114"
"ACE2","21.5226","476.517","6.3649","5.7296","7.3292","2.0933","5.8867","13.245","10.8044"
"ACER1","13.2799","16.2391","16.2659","1.1459","21.9877","17.9426","51.1405","16.3355","19.583"
"ACER2","111.2765","168.9885","333.8048","93.9649","224.8918","108.2536","134.2899","178.3664","185.3637"
"ACER3","267.8878","490.2188","956.1528","542.3988","507.646","430.622","414.6431","535.5408","483.1611"
"ACHE","201.9462","340.5143","56.5771","174.9427","65.5774","374.701","76.8948","98.8962","168.8194"
"ACIN1","2711.391","3095.3307","2599.0099","2687.9297","2001.6529","2433.0144","1257.1744","2356.2914","2730.8225"
"ACLY","7402.4041","5461.6766","6026.1669","11910.6188","8657.7565","3999.4019","5372.3326","7291.8322","4978.1463"
"ACMSD","0","0","0","0","0","0","0","0","0"
"ACN9","201.4883","229.3777","260.2546","498.8541","250.737","166.567","601.1773","196.9095","167.8065"
"ACO1","1202.5186","1058.8421","965.3465","1439.2666","1225.5254","4593.3014","1664.0912","2341.2804","1779.6941"
"ACO2","3050.4133","3080.4135","3403.5149","4391.5202","3520.3054","4633.6872","2657.3657","3148.4768","2235.7428"
"ACOT1","397.9393","404.2021","355.7284","657.372","597.9114","670.7536","869.3893","355.4084","403.4784"
"ACOT11","106.2393","211.4766","260.4809","53.094","163.4227","148.1788","62.9139","125.532","78.4099"
"ACOT12","0","1.2687","0","0","4.2432","0.5981","3.3113","0.883","1.6882"
"ACOT13","612.5793","670.7573","943.7058","683.178","967.6212","585.32","1453.624","597.3598","556.0708"
"ACOT2","326.0446","291.5432","208.628","328.877","299.7272","435.1077","492.2737","271.0817","288.0059"
"ACOT4","45.7928","38.5679","22.6308","28.6478","71.3636","54.7249","136.4974","31.7881","57.3986"
"ACOT6","0.9159","1.0149","0","0.382","1.1572","6.5789","2.5754","2.649","1.3506"
"ACOT7","297.6531","328.0812","207.9208","453.7815","341.3881","431.2201","393.3039","361.1479","407.1924"
"ACOT8","508.0618","350.169","436.4215","490.3056","533.0476","305.5323","781.0375","347.298","288.168"
"ACOT9","399.3131","473.4722","327.4399","464.8587","528.8622","834.6292","877.4834","577.4834","547.9878"
"ACOX1","2349.7836","2367.8354","3228.0693","2439.0451","3310.8859","2316.0885","3220.4857","2602.8874","2130.1631"
"ACOX2","134.6308","381.8733","227.7228","72.9565","348.7173","525.4187","507.3584","388.0795","479.4471"
"ACOX3","719.4047","632.8187","640.0283","601.9862","742.5673","464.4139","626.1957","698.4547","481.4729"
"ACOXL","43.9611","53.7921","175.389","7.6394","77.9214","23.6244","93.819","31.3466","41.1919"
"ACP1","1400.8014","1253.9654","1504.2433","2233.3843","1680.7095","1085.5263","2540.4709","1214.128","1175.9959"
"ACP2","2153.6348","1563.2701","1140.7355","1137.1276","1848.1247","855.2632","1641.6483","1196.9095","918.3775"
"ACP5","673.154","621.1468","602.546","612.6814","1190.4222","345.6938","1704.1943","317.4393","712.4178"
"ACP6","555.4665","264.3934","586.2801","614.5913","597.1399","305.0239","256.4386","230.4636","206.9726"
"ACPL2","462.5072","426.0235","574.2574","512.605","550.4642","326.8541","564.3856","510.8168","487.2128"
"ACPP","129169.0944","192207.12","91119.5191","56428.5714","224205.5735","85578.6483","650676.9684","208043.7086","134931.9405"
"ACPT","0.4579","0.7612","1.4144","4.2017","1.1572","0.5981","2.5754","0.4415","0.6753"
"ACR","0.4579","3.5523","2.8289","3.4377","3.086","5.6818","2.5754","4.415","6.0775"
"ACRBP","10.9903","28.926","16.2659","12.987","20.059","14.055","9.9338","14.128","30.7251"
"ACRC","10.5323","18.7765","14.8515","8.7853","8.1007","2.6914","4.7829","4.415","9.7915"
"ACRV1","1.8317","1.0149","4.2433","8.0214","1.1572","0.8971","1.1038","0","0.6753"
"ACSBG1","7.3268","29.6872","16.2659","6.8755","17.3587","39.4737","14.3488","19.8675","14.8561"
"ACSBG2","0","2.0299","0","0","1.543","0.299","1.1038","0","0"
"ACSF2","602.6331","644.2368","439.8868","275.783","526.9335","271.8301","870.493","402.2075","529.4176"
"ACSF3","620.4923","462.5615","480.198","579.068","545.8352","331.3397","458.4253","406.6225","363.2993"
"ACSL1","6325.3578","4565.987","5324.611","4021.7723","6347.5042","3027.512","5083.8852","3959.8234","3815.9936"
"ACSL3","5207.0979","3914.3919","7128.7129","6186.0199","7807.9509","3701.256","6523.9146","7332.0088","2784.5071"
"ACSL4","569.6623","703.3574","691.6549","502.6738","832.8327","1450.6579","1238.4106","1276.8212","1836.755"
"ACSL5","1683.3429","1190.7851","1024.0453","1405.2712","1803.7636","344.1986","635.3937","770.8609","1316.7913"
"ACSL6","12.3641","7.3584","3.5361","6.4935","6.172","13.756","12.1413","7.5055","40.179"
"ACSM1","72.8105","146.9134","32.5318","1329.259","281.597","9.5694","77.6306","377.4834","59.7621"
"ACSM2A","0","0.2537","0","0","0","0.8971","0","0","1.0129"
"ACSM2B","0","0","0","0","0","0.299","0","0","0.3376"
"ACSM3","628.1076","562.5057","817.6733","5082.3338","1180.2847","184.5813","1631.1405","1155.9514","427.4338"
"ACSM4","0","0","0","0","0","0","0.7358","0","0"
"ACSM5","2.2896","3.5523","2.8289","3.0558","1.9287","14.6531","22.0751","11.479","14.1808"
"ACSS1","2748.941","1725.154","1829.5615","2785.3323","1959.992","1073.2656","1341.7954","1528.4768","1330.6345"
"ACSS2","982.7132","923.6006","560.8204","949.9618","809.302","1236.244","908.3885","883.4437","851.8627"
"ACSS3","195.5352","225.8254","166.9024","108.8617","224.1203","510.7656","374.908","419.8675","534.8198"
"ACTA1","38.9239","58.3594","12.7298","12.987","53.6191","17583.7321","101.1773","411.9205","780.9585"
"ACTA2","18064.4946","35169.7516","25658.4866","20979.3048","47459.9896","150596.7763","56404.5254","60907.1744","50708.1636"
"ACTB","50449.9141","86635.0046","54164.0736","75646.2949","73711.284","174499.692","87875.6071","103292.7152","91281.66"
"ACTBL2","0.9159","10.4032","0","4.5837","0","0.299","2.5754","1.3245","5.0646"
"ACTC1","359.9313","1252.1893","1080.6223","64.5531","2819.4414","9872.6077","2274.4665","1086.0927","521.9896"
"ACTG1","31978.4774","56733.4353","40920.7921","88445.7601","38527.0936","30264.6531","46791.7586","37359.3819","36460.2624"
"ACTG2","20672.6961","46085.5688","22139.3211","20860.5806","76126.4602","179756.5789","69878.5872","63603.532","37045.0528"
"ACTL6A","657.1265","647.2816","690.2405","922.4599","708.6214","480.2632","1189.4776","641.5011","637.1244"
"ACTL6B","0","0","1.4144","0","0","0","0","0","0.3376"
"ACTL7A","0","0","0","0","0","0","0","0","0"
"ACTL7B","0","0","0","0","0","0","0","0","0"
"ACTL8","0","0","0","5.7296","0","0","0","0","0"
"ACTL9","0","0","0","0","0","0","0","0","0"
"ACTN1","7520.0916","8720.6673","6239.7454","9526.738","10220.4268","24582.8349","5224.7976","12933.3333","10625.1551"
"ACTN2","85.1746","12.6868","6.3649","3.4377","19.2875","10002.9904","82.4135","280.3532","297.4598"
"ACTN3","1.3738","2.5374","0","1.1459","1.1572","52.3325","0","3.9735","4.0517"
"ACTN4","8755.0452","8030.5803","8254.3989","11296.0237","8738.2508","11367.3206","5144.22","11096.9139","10298.6989"
"ACTR10","789.0097","957.0938","1023.338","903.3613","1100.5427","1087.3206","2100.0736","1040.1766","961.2576"
"ACTR1A","2504.8655","2196.0888","2285.0071","2830.7869","2721.0753","3601.0766","2661.5158","2780.1325","2366.1726"
"ACTR1B","1903.6062","1689.1234","1601.1315","1984.7212","2026.3409","1855.5622","2307.947","1514.3488","1495.7398"
"ACTR2","3469.7195","4262.5182","3794.9081","5430.0993","4070.812","5044.8565","4806.8433","5338.1898","6306.755"
"ACTR3","2356.9548","2647.4859","2301.273","3398.3957","3147.714","3918.6603","4452.1707","3591.6115","3997.3056"
"ACTR3B","150.6583","164.6749","163.3663","164.6295","189.4029","58.9115","158.9404","124.9448","119.1865"
"ACTR3C","38.008","52.5234","40.3112","16.8067","31.6314","29.0072","99.3377","30.0221","43.5554"
"ACTR5","180.4236","183.1977","171.8529","176.8526","187.8599","125.8971","214.128","138.6313","152.9504"
"ACTR6","429.0784","492.5024","517.6803","414.8205","498.7738","419.2584","916.8506","438.8521","448.0467"
"ACTR8","395.1918","474.7409","351.4851","404.5073","472.5428","523.6244","428.2561","528.0353","636.7868"
"ACTRT1","0","0","0","0","0","0","0","0","0"
"ACTRT2","0","0","0","0","0","0","0","0","0"
"ACVR1","758.3286","672.6553","671.1457","640.1833","754.1398","797.5478","656.365","766.8874","982.5289"
"ACVR1B","2275.9015","1604.6292","2138.6139","1033.9954","1622.0757","687.5","1041.9426","1430.9051","1221.2395"
"ACVR1C","12.3641","19.5377","15.5587","6.1115","9.258","20.3349","15.4525","45.0331","31.4004"
"ACVR2A","461.1334","495.801","824.611","308.6325","588.6534","558.9115","682.1192","494.9227","560.4804"
"ACVR2B","274.7567","333.6634","443.4229","244.0794","233.3783","322.0694","98.6019","217.66","259.6442"
"ACVRL1","246.3652","304.9912","129.4201","199.7708","322.4864","441.3876","296.9095","641.0596","828.5656"
"ACY1","922.5644","855.3455","997.8076","1266.2338","1284.3869","301.7733","1431.1884","614.128","493.2903"
"ACY3","32.5129","20.8064","4.9505","4.2017","6.5577","3.8876","31.6409","8.3885","30.7251"
"ACYP1","31.597","63.1804","48.0905","77.5401","38.9607","32.8947","91.2436","37.0861","43.2178"
"ACYP2","174.4705","99.4647","198.727","194.0413","182.8452","215.311","396.2472","154.9669","150.5869"
"ADA","35.2604","61.658","13.4371","25.5921","35.8747","53.2297","85.3569","63.5762","134.7179"
"ADAD1","0","0.2537","0","0","0","0","0","0","0"
"ADAD2","4.2129","11.4055","9.1938","0","7.9426","3.2895","7.5276","11.2892","5.0308"
"ADAL","149.7424","203.4966","135.785","143.2391","238.0073","167.1651","326.7108","180.1325","197.1811"
"ADAM10","2275.4436","2140.5205","3251.0608","3192.5134","2454.9083","1687.5","2128.4032","2590.7285","3371.9986"
"ADAM11","27.4757","50.4935","34.6535","20.6264","46.2899","102.5718","34.9522","32.6711","34.4392"
"ADAM12","8.2427","10.1495","6.3649","17.9526","7.715","13.756","6.6225","20.7506","157.3397"
"ADAM15","3792.1007","3541.3993","2437.7652","4129.5455","4247.0994","1882.7751","2200.1766","2578.8079","2302.3825"
"ADAM17","279.7939","431.8594","293.4936","351.7953","342.5453","299.3421","336.2767","400.883","510.8475"
"ADAM18","0","0","0","1.5279","0","0","0","0","0"
"ADAM19","132.7991","231.6614","99.7171","163.1016","207.9189","951.256","92.7152","264.0177","484.174"
"ADAM2","0.4579","2.7911","0.7072","176.0886","3.4717","0.299","0","7.947","0"
"ADAM20","0.9159","3.0448","0.7072","1.1459","0.3857","0.8971","0.3679","0.4415","0"
"ADAM21","0","1.7762","2.1216","14.8969","11.1867","2.9904","2.9433","13.6865","3.3764"
"ADAM21P1","0.4579","0","0","1.1459","0.7715","0.5981","0.7358","5.7395","1.0129"
"ADAM22","110.8185","167.9735","103.2532","109.6257","188.2456","683.6124","227.741","236.2031","756.3109"
"ADAM23","5.9531","14.7167","16.2659","8.7853","26.231","52.0335","12.1413","42.3841","55.7104"
"ADAM28","423.1254","166.7048","221.3579","124.1406","143.8845","46.9498","189.8455","66.2252","253.2291"
"ADAM29","0","0.5075","0.7072","0.382","0.3857","0","0.7358","0","1.0129"
"ADAM30","0","0","0","0.7639","0","0","0","0","0"
"ADAM32","18.3171","32.2245","10.6082","3.0558","11.1867","19.7368","30.9051","14.5695","16.2067"
"ADAM33","94.7911","352.4247","82.0368","117.2651","292.3979","443.7799","159.6762","260.0442","290.0317"
"ADAM3A","0","0","0","0","0","0","0","0","0"
"ADAM5P","0","0","0","0","0","0","0","0","0"
"ADAM6","14268.7579","5504.1749","212.1004","2130.2941","400.2341","769.2524","425.195","1027.6821","29017.9945"
"ADAM7","0","98.4497","0","1.1459","0.3857","0","0","0.4415","0"
"ADAM8","283.4574","205.019","99.0099","142.8571","124.9828","70.5742","61.4422","108.1678","407.53"
"ADAM9","3521.4654","2846.4152","2530.4102","7668.8312","3202.4904","3073.5646","3110.0074","3943.4879","3498.2755"
"ADAMDEC1","5.9531","15.2242","2.1216","50.0382","6.9435","30.5024","50.7726","39.7351","109.0573"
"ADAMTS1","603.091","3357.1867","10637.1994","1125.6684","2455.2941","7223.9833","839.9558","7898.0132","2466.1137"
"ADAMTS10","76.9319","116.465","36.0679","90.9091","94.8943","65.1914","60.3385","121.8543","203.5962"
"ADAMTS12","3.6634","15.4779","3.5361","17.1887","11.1867","23.6244","33.8484","37.0861","84.7473"
