"","TCGA.CH.5761.11A.01R.1580.07","TCGA.CH.5761.11A.01R.1580.08","TCGA.CH.5761.11A.01R.1580.09","TCGA.CH.5761.11A.01R.1580.10","TCGA.CH.5761.11A.01R.1580.11","TCGA.CH.5761.11A.01R.1580.12","TCGA.CH.5761.11A.01R.1580.13","TCGA.CH.5761.11A.01R.1580.14","TCGA.CH.5761.11A.01R.1580.15"
"ASIP","0","0","1.4144","0.382","0","1.4952","5.8867","2.2075","2.3635"
"ASL","822.4385","634.5948","429.9859","902.5974","703.2209","294.8565","1011.4054","465.7837","398.0761"
"ASMT","0","0.5075","0","0.7639","0","0.8971","0","0","0"
"ASMTL","1436.5106","1165.9189","1137.8996","738.3499","1205.8522","1168.3583","1354.301","1093.5894","1073.3537"
"ASNA1","1217.6302","958.3625","891.0891","1289.916","1357.4517","974.2823","2291.3907","1077.2627","997.0473"
"ASNS","281.6256","415.3665","310.4668","550.4202","352.1891","417.1651","537.1597","351.8764","352.4949"
"ASNSD1","899.3703","775.4185","878.3593","807.1047","975.9456","768.5407","1553.3481","804.8565","977.8019"
"ASPA","16.4854","91.0914","31.8246","1.5279","32.4029","56.5191","131.7145","110.3753","131.0039"
"ASPDH","0","1.0149","0","0.7639","0.3857","0.5981","0","0","0.6753"
"ASPG","0","2.5374","0","0.382","0.3857","0","0","0.883","0.6753"
"ASPH","2307.1139","4314.5773","1976.5771","1216.3942","2367.3471","4661.6089","2594.312","3162.1943","3624.1169"
"ASPHD1","48.5404","39.3291","55.8699","96.2567","49.3759","11.3636","32.0088","15.894","19.583"
"ASPHD2","111.2765","84.748","56.5771","113.0634","153.1425","49.3421","33.4805","34.4371","123.9134"
"ASPM","24.7281","35.2694","7.7793","289.152","15.0442","11.3636","8.0942","35.3201","41.5296"
"ASPN","27.4757","78.912","37.4823","345.3018","164.3292","60.1077","64.0177","20.7506","80.0204"
"ASPRV1","50.1065","56.5401","46.6902","29.5646","46.5098","67.6196","20.9603","38.8874","56.6153"
"ASPSCR1","610.4179","372.2313","338.7553","622.2307","498.7738","249.701","623.6203","374.3929","323.7956"
"ASRGL1","1278.0767","835.5541","590.5233","251.3369","565.5084","202.1531","730.3164","1075.0552","273.8251"
"ASS1","3616.7144","4659.6158","3025.4597","1157.754","1671.0658","612.1411","1912.4356","1973.9514","1818.8602"
"ASTE1","149.4768","208.4572","214.2504","106.2299","180.087","112.9187","231.7697","141.4128","221.5552"
"ASTL","0.9159","5.8359","3.5361","0.382","0.3857","0.5981","0","0","0"
"ASTN1","0.4579","8.3733","21.2164","6.1115","3.8575","633.9713","20.9713","47.2406","58.7491"
"ASTN2","1861.4768","1638.3761","1422.9137","2580.9778","2159.0386","1147.4282","2077.6306","2278.1457","1591.6293"
"ASXL1","1329.3646","1570.121","1473.1259","1222.3071","1194.2797","1409.0909","664.8271","1223.3996","1453.535"
"ASXL2","562.3354","633.8336","688.1188","466.7685","594.0539","1087.6196","285.872","861.3687","1270.1971"
"ASXL3","38.4659","39.5829","38.1895","12.2231","65.5774","219.1986","37.5276","90.5077","90.1496"
"ASZ1","0","0.5075","0","0","0","0","0","0","0"
"ATAD1","976.7602","1170.7399","1447.6662","345.6837","1580.029","1657.2967","1328.1825","1494.9227","1674.3508"
"ATAD2","523.8695","556.9515","780.7638","1037.4332","695.5059","456.0407","631.7145","847.2406","875.1597"
"ATAD2B","220.2633","310.8271","279.3494","381.207","207.9189","182.1172","101.5453","280.7947","404.1536"
"ATAD3A","547.2238","437.9491","449.7878","1251.3369","440.9114","316.9856","220.0147","407.064","328.5225"
"ATAD3B","214.3102","302.9613","140.7355","431.6272","143.113","64.8923","89.7719","104.6358","145.5223"
"ATAD3C","147.9107","156.5554","130.8345","37.0512","108.3955","73.5646","257.9102","85.6512","115.1348"
"ATAD5","32.9708","57.0907","41.7256","46.2185","27.7739","19.7368","32.7447","41.0596","66.8525"
"ATCAY","185.9187","135.2415","156.2942","63.4072","229.9066","608.8517","71.7439","111.6998","203.5962"
"ATE1","243.1597","264.3934","318.2461","373.5676","344.8598","523.3254","425.3127","491.8322","488.5633"
"ATF1","533.486","478.0394","540.3112","525.974","457.1129","362.7392","884.106","501.5453","555.0782"
"ATF2","418.0882","475.5021","466.761","576.0122","620.2848","533.7919","763.0611","689.6247","826.8774"
"ATF3","2409.1586","36122.9328","1314.0028","4498.8541","523.076","2492.5239","4325.6071","8437.5276","946.4015"
"ATF4","6246.1362","7704.7066","4688.826","9131.398","5830.6001","5003.5885","9551.8764","4167.7704","3887.573"
"ATF5","1133.8294","994.0454","923.6209","1745.6073","1289.5598","662.0813","989.6983","822.9581","665.4861"
"ATF6","1259.3017","1482.8357","1645.686","1036.2872","1487.4492","1393.2416","1302.4283","1754.0839","1871.5318"
"ATF6B","3094.6766","2563.2454","2468.0127","2737.204","2552.1171","1243.3104","1877.4834","2025.6071","2105.3636"
"ATF7","1385.0395","1194.581","1577.9066","1887.097","1438.4899","2036.3158","852.4798","1930.3841","1871.6702"
"ATF7IP","701.0876","904.0629","874.8232","785.7143","916.1545","1308.3134","490.8021","1043.7086","1569.3451"
"ATF7IP2","36.6342","106.0618","56.5771","17.5707","30.8599","37.6794","45.9897","49.8896","94.8765"
"ATG10","72.8105","134.2266","83.4512","132.5439","130.769","126.7943","184.6946","97.1302","144.847"
"ATG12","378.2484","460.7854","442.7157","511.8411","506.103","534.39","946.6519","441.0596","530.7682"
"ATG16L1","914.482","745.4776","983.0269","887.7005","1088.5844","660.2871","1194.9963","803.9735","885.9642"
"ATG16L2","142.9101","344.7974","98.0622","148.3499","105.9885","85.6908","70.8572","90.362","168.9139"
"ATG2A","1157.1837","858.8978","1086.2801","968.2964","814.3167","849.2823","382.6343","1024.7241","921.4163"
"ATG2B","1011.5627","1294.817","1255.3041","894.194","869.8646","1083.134","571.7439","1230.0221","1292.4813"
"ATG3","520.664","626.2215","573.5502","654.6982","622.2136","553.8278","1151.2141","617.2185","611.4638"
"ATG4A","259.6451","276.5727","166.1952","204.3545","335.9876","292.7632","461.3687","337.3068","234.659"
"ATG4B","1338.5232","1038.5432","1031.8246","1188.6937","1038.8228","735.3469","1050.4047","710.8168","745.1688"
"ATG4C","150.2003","195.6308","173.9745","83.6516","186.3169","183.6124","300.5887","175.7174","240.7365"
"ATG4D","491.4711","494.4384","343.8331","568.4874","456.5111","255.4516","332.2627","339.0375","258.8373"
"ATG5","838.9239","851.2857","947.6662","727.6547","1006.8056","946.1722","2744.2973","885.2097","991.3075"
"ATG7","641.8409","621.535","610.9264","652.6891","722.2769","518.7709","924.2494","536.7726","672.8128"
"ATG9A","2528.5541","1784.612","1617.6096","1603.6134","1909.4241","1941.4623","750.9161","1448.5872","1313.8538"
"ATG9B","11.7184","10.6163","25.7284","14.2743","16.0896","7.0006","10.2649","6.34","18.5904"
"ATHL1","327.4184","834.5391","393.918","196.3331","158.9287","56.2201","182.1192","145.6954","198.8692"
"ATIC","1001.0303","1278.8316","1036.0679","1402.5974","1136.8031","1761.3636","1134.2899","983.6645","1309.7009"
"ATL1","387.8649","454.4419","334.512","216.9595","475.6288","755.0837","736.2031","508.1678","457.8382"
"ATL2","1448.8838","1480.0446","1199.4342","984.3392","1561.1273","2351.6746","2224.4297","1576.6004","1614.9263"
"ATL3","217.0578","286.7222","252.4752","325.0573","428.1817","923.744","460.6328","676.3797","744.1559"
"ATM","1131.5398","1322.2205","1053.041","394.958","919.2405","1389.055","599.7057","1142.6049","2291.5545"
"ATMIN","1916.4282","2107.5348","2207.9208","1516.8067","1893.2574","1781.1005","1821.9279","2253.4216","1740.8656"
"ATN1","5311.0475","5079.2958","4255.3041","4147.8228","4074.6695","7412.0813","2236.571","5370.4194","4637.4688"
"ATOH1","5.4951","2.2836","0","0","0.3857","0","0","0","0"
"ATOH7","0.4579","1.0149","1.4144","2.6738","1.543","0.5981","0.7358","0","1.0129"
"ATOH8","794.5049","808.1505","1130.8345","331.1688","762.2405","633.9713","473.8779","765.5629","428.4636"
"ATOX1","561.4196","471.4423","585.5728","697.097","678.9187","450.0598","1380.7947","478.1457","398.4138"
"ATP10A","222.5529","194.8696","91.2306","310.9244","203.6756","113.9354","102.2811","201.766","427.1131"
"ATP10B","1.3738","3.0448","2.8289","6.8755","7.3292","3.8876","0.3679","2.2075","0"
